epoch,accuracy,loss,val_accuracy,val_loss
0,0.33628666400909424,1.5540812015533447,0.21924848854541779,1.4844404458999634
1,0.2071075439453125,1.4539432525634766,0.13709217309951782,1.544613242149353
2,0.17173299193382263,1.4208776950836182,0.23885484039783478,1.517737865447998
3,0.217974454164505,1.385276198387146,0.2946663200855255,1.4523690938949585
4,0.2312888503074646,1.3651643991470337,0.24167205393314362,1.4760613441467285
5,0.23251260817050934,1.345531702041626,0.3484981060028076,1.4561877250671387
6,0.2610994279384613,1.333033561706543,0.3299958109855652,1.4450459480285645
7,0.25669392943382263,1.3227508068084717,0.3379906415939331,1.4232131242752075
8,0.25623705983161926,1.3050627708435059,0.33231812715530396,1.4325406551361084
9,0.2711178660392761,1.2924728393554688,0.3375338017940521,1.396683692932129
10,0.2811199724674225,1.2828409671783447,0.3163284659385681,1.3703491687774658
11,0.2499224990606308,1.265792965888977,0.3264552354812622,1.351099967956543
12,0.29963940382003784,1.2602813243865967,0.33380287885665894,1.3569625616073608
13,0.2632858455181122,1.2487977743148804,0.30327025055885315,1.3431838750839233
14,0.30319643020629883,1.2230453491210938,0.3140442371368408,1.3117183446884155
15,0.27394065260887146,1.216244101524353,0.3407317101955414,1.2826992273330688
16,0.29417333006858826,1.2103803157806396,0.3272547423839569,1.2747509479522705
17,0.27031832933425903,1.2017236948013306,0.31126508116722107,1.286085844039917
18,0.28296375274658203,1.1850550174713135,0.38493165373802185,1.246933937072754
19,0.2669571042060852,1.158560872077942,0.2447938472032547,1.2386763095855713
20,0.2418946921825409,1.1494004726409912,0.21190086007118225,1.265739917755127
21,0.22797657549381256,1.1227914094924927,0.4077740013599396,1.1861553192138672
22,0.2661575973033905,1.105970859527588,0.32287660241127014,1.2131280899047852
23,0.27519702911376953,1.080329418182373,0.3318612575531006,1.2099392414093018
24,0.29702872037887573,1.0630277395248413,0.30555450916290283,1.2354153394699097
25,0.29497283697128296,1.0358279943466187,0.44081929326057434,1.1353366374969482
26,0.32417967915534973,1.0321599245071411,0.3532569408416748,1.156314492225647
27,0.32346174120903015,1.0121641159057617,0.3208969533443451,1.1801382303237915
28,0.3237391412258148,1.0005286931991577,0.3567213714122772,1.1523873805999756
29,0.3405126631259918,0.9832495450973511,0.3590436577796936,1.1413401365280151
30,0.36353549361228943,0.9707005620002747,0.3703506290912628,1.0903362035751343
31,0.3600926697254181,0.9616898894309998,0.4551338255405426,1.0678809881210327
32,0.3737170994281769,0.9487592577934265,0.3751475214958191,1.1256636381149292
33,0.3843882083892822,0.9351595640182495,0.4516313374042511,1.0893311500549316
34,0.39796367287635803,0.9216759204864502,0.48037460446357727,1.0519559383392334
35,0.4219328761100769,0.9231323599815369,0.4997144639492035,1.029700756072998
36,0.4327181875705719,0.9020771980285645,0.40861156582832336,1.057878851890564
37,0.448594331741333,0.8899767994880676,0.5556782484054565,0.9931090474128723
38,0.47995495796203613,0.8669999241828918,0.5936726927757263,0.9331900477409363
39,0.5157864093780518,0.8506448268890381,0.6388244032859802,0.8532519340515137
40,0.5501166582107544,0.8334025740623474,0.5473788380622864,0.9300330877304077
41,0.5583565831184387,0.8031812906265259,0.7023261189460754,0.7784503102302551
42,0.5691581964492798,0.7977532744407654,0.7308028936386108,0.7282939553260803
43,0.5789319276809692,0.7771012187004089,0.721551775932312,0.7298984527587891
44,0.5876449942588806,0.7677783370018005,0.7499143481254578,0.6772478818893433
45,0.5825542211532593,0.7551294565200806,0.7258537411689758,0.7162941694259644
46,0.5864375829696655,0.7495003938674927,0.6985190510749817,0.7570396661758423
47,0.596521258354187,0.7373746037483215,0.7358663082122803,0.7042056918144226
48,0.5999478101730347,0.7428361773490906,0.6445730328559875,0.8363668918609619
49,0.5983977317810059,0.7290816307067871,0.7071610689163208,0.7602457404136658
50,0.6035211086273193,0.7153719663619995,0.7139376401901245,0.7439026236534119
51,0.6130990386009216,0.7182933688163757,0.7595462203025818,0.6499216556549072
52,0.61701500415802,0.7063451409339905,0.6886587738990784,0.7686306238174438
53,0.6207188963890076,0.7052043080329895,0.7572619915008545,0.6547207236289978
54,0.6198704242706299,0.6956189870834351,0.7237218022346497,0.7406060099601746
55,0.6208168268203735,0.695654571056366,0.6859938502311707,0.768443763256073
56,0.6216000318527222,0.696976900100708,0.729965329170227,0.7167770266532898
57,0.6207841634750366,0.6841657757759094,0.7721856236457825,0.6588273644447327
58,0.6278819441795349,0.6820561289787292,0.7537594437599182,0.6801439523696899
